iter	Logloss
0	0.6919303275
1	0.6908756309
2	0.6896776996
3	0.6887329237
4	0.6877498977
5	0.6867513224
6	0.6858264895
7	0.6849889452
8	0.684184043199	0.6834042819110	0.6826427266111	0.6819876304112	0.6812855041113	0.6806177427
14	0.680056046
15	0.6795630786
16	0.6791292653
17	0.6785992637
18	0.6781537174
19	0.677738867
20	0.677365579
21	0.6769831836
22	0.6765203152
23	0.6760382019
24	0.675680905
25	0.6753346742
26	0.6749875103
27	0.6745708667
28	0.6743594395
29	0.6740632582
30	0.6738805121
31	0.673622375
32	0.673350616
33	0.6731256902
34	0.6728422779
35	0.6725518984
36	0.6723098842
37	0.6720708249
38	0.6719008655
39	0.671692789
40	0.6714693695
41	0.6712922584
42	0.6711071013
43	0.6709244038
44	0.6707234461
45	045	0.670011846	0.6704742149
47	0.6703433679
48	0.6701958358
49	049	0.669373150	050	0.669214051	051	0.66906952	0.52	0.66893353	0.53	0.66872754	0.54	0.66859455	0.55	0.668525656	056	0.668325757	057	0.66817158	058	0.667912559	059	0.667885560	060	0.667699461	061	0.667566762	062	0.667462663	063	0.667381664	064	0.667234565	065	0.667017966	066	0.666970867	067	0.666799368	068	0.66669769	0.69	0.66658770	0.70	0.6664871	0.671	0.6663513476
72	0.6662444428
73	0.6660743525
74	0.6659083193
75	0.6657776	0.676	0.6656677	0.677	0.6655578	0.678	0.6654079	0.679	0.665380	0.6680	0.665181	0.6681	0.665082	0.6682	0.664983	0.6683	0.664884	0.6684	0.664785	0.6685	0.664686	0.6686	0.664587	0.6687	0.6644533242
88	0.6643515933
89	0.6642868427
90	0.6641331412
91	0.66402421
92	0.6638892009
93	0.6638152824
94	0.6637481277
95	0.6636412622
96	0.6635054731
97	0.6634524231
98	0.6633732797
99	0.6632263621
100	0.6631685199
101	0.6630884378
102	0.6630114089
103	0.6629765436
104	0.6628905204
105	0.6628214219
106	0.6626959506
107	0.6626490646
108	0.6625545693
109	0.6624834606
110	0.6623668492
111	0.6622496836
