iter	Passed	Remaining
0	148	148259
1	150	75178
2	154	51220
3	157	39260
4	161	32156
5	165	27382
6	168	23953
7	172	21382
8	176	19410
9	179	17818
10	183	16515
11	186	15346
12	190	14450
13	193	13658
14	197	12971
15	201	12379
16	203	11780
17	207	11323
18	210	10858
19	214	10487
20	217	10152
21	219	9773
22	223	9497
23	227	9237
24	230	9000
25	234	8782
26	238	8596
27	242	8408
28	245	8233
29	249	8066
30	252	7894
31	256	7750
32	259	7610
33	263	7482
34	266	7342
35	269	7228
36	273	7125
37	277	7027
38	281	6930
39	285	6842
40	288	6748
41	292	6669
42	295	6587
43	299	6516
44	301	6408
45	305	6342
46	309	6284
47	313	6220
48	317	6166
49	322	6119
50	326	6073
51	330	6025
52	334	5982
53	339	5940
54	343	5898
55	347	5851
56	351	5807
57	355	5767
58	358	5723
59	363	5688
60	366	5649
61	370	5610
62	375	5582
63	379	5548
64	383	5517
65	387	5477
66	389	5426
67	393	5391
68	396	5353
69	400	5318
70	402	5263
71	406	5238
72	410	5208
73	413	5177
74	417	5148
75	421	5123
76	424	5093
77	428	5064
78	431	5034
79	435	5006
80	439	4987
81	443	4959
82	446	4929
83	449	4903
84	453	4880
85	457	4859
86	460	4835
87	464	4811
88	467	4788
89	471	4770
90	475	4747
91	478	4726
92	482	4704
93	486	4685
94	490	4668
95	493	4647
96	496	4626
97	500	4605
98	503	4586
99	507	4566
100	511	4550
101	515	4535
102	519	4523
103	523	4512
104	528	4505
105	533	4497
106	537	4485
107	541	4473
108	545	4461
109	549	4449
110	554	4439
111	558	4428
112	562	4416
113	566	4404
114	571	4395
115	575	4387
116	579	4377
117	584	4368
118	588	4357
119	592	4348
120	597	4339
121	601	4329
122	605	4318
123	610	4310
124	612	4287
125	616	4278
126	620	4264
127	623	4247
128	626	4232
129	630	4218
130	634	4206
131	636	4184
132	640	4174
133	643	4160
134	647	4147
135	651	4136
136	654	4124
137	658	4110
138	661	4097
139	664	4084
140	666	4063
141	670	4051
142	673	4038
143	677	4025
144	680	4014
145	684	4006
146	688	3997
147	692	3988
148	696	3979
149	700	3972
150	705	3964
151	708	3954
152	712	3945
153	716	3937
154	720	3928
155	724	3920
156	728	3911
157	732	3903
158	736	3895
159	740	3887
160	744	3879
161	748	3872
162	751	3861
163	754	3844
164	758	3837
165	762	3830
166	766	3823
167	770	3816
168	774	3808
169	778	3801
170	782	3794
171	786	3785
172	789	3772
173	793	3765
174	797	3758
175	801	3751
176	805	3744
177	809	3738
178	813	3731
179	817	3725
180	821	3718
181	825	3710
182	829	3703
183	833	3697
184	837	3691
185	841	3684
186	846	3678
187	850	3672
188	854	3665
189	858	3659
190	862	3653
191	866	3646
192	870	3640
193	874	3632
194	878	3625
195	882	3620
196	886	3614
197	890	3608
198	893	3594
199	897	3588
200	901	3582
201	905	3577
202	909	3571
203	913	3565
204	917	3559
205	922	3554
206	926	3548
207	930	3542
208	934	3537
209	938	3531
210	942	3525
211	946	3519
212	951	3513
213	955	3507
214	958	3501
215	963	3495
216	967	3490
217	971	3483
218	975	3477
219	979	3471
220	983	3466
221	987	3459
222	991	3453
223	995	3447
224	998	3440
225	1003	3435
226	1007	3429
227	1010	3421
228	1014	3416
229	1018	3411
230	1023	3408
231	1028	3404
232	1032	3399
