iter	Logloss
0	0.692013579411	0.690902042922	0.689582426733	0.688645588844	0.687594955555	0.686692866666	0.685784889177	0.684945124888	0.684096791399	0.6833983219
10	0.6827413607
11	0.6820903239
12	0.6813923682
13	0.6807377561
14	0.6801375843
15	0.6796295802
16	0.6791270435
17	0.6786493511818	0.6782218219	19	0.6777626719
20	0.6773112876
21	0.6769038722	22	0.6765001623	23	0.6761305624	24	0.6758209925	25	0.675479722626	0.67515910327	0.6742303286
28	0.673962759
29	0.6736824071
30	0.6733736978
31	0.6731352933
32	0.6729493408
33	0.6727347157
34	0.672459146
35	0.6722300924
36	0.6720740491
37	0.6719004953
38	0.6717182293
39	39	0.671981364040	0.6718210064141	0.6715963464242	0.6713538104343	0.6712164444444	0.6710169514545	0.6708772291
46	0.6706842762
47	0.6705009433
48	0.6703500492
49	0.6702342578
50	0.6701261449
51	0.6699925975
52	0.6698778508
53	0.6696538807
54	0.6694969955	55	0.6693623256	56	0.6692297357	57	0.6690577056
58	0.6690130655959	0.6688881760	60	0.6687758161	61	0.6686642062	62	0.668561163	063	0.668381664	064	0.668293565	065	0.668171466	066	0.668062767	067	0.667975568	068	0.66787769	0.6675359663
70	0.6674611718
71	071	0.667556072	072	0.66749473	0.73	0.66739374	0.74	0.66730175	0.75	0.6671714235
76	0.6670649499
77	0.6669308553
78	0.6668327252
79	0.6667289716
80	0.6666528418
81	0.666542587
82	0.6664901903
83	0.66684	0.66684	0.66685	0.66585	0.6661881524
86	0.687	0.6657587	0.6659062723
88	0.689	0.6656289	0.690	0.6655790	0.691	0.6654991	0.692	0.6653992	0.693	0.6653093	0.694	0.6651894	0.695	0.6650895	0.696	0.6650296	0.697	0.6649597	0.698	0.6649098	099	0.664849499	0100	0.664781100	0101	0.664771101	0.66484486010102	0.6648023879
103	0.66470414
104	0.6646122967
105	0.6645396014
106	0.6644742848
107	0.66441643108108	0.66432418109109	0.66421906110110	0.66411031111111	0.66402805112112	0.66397211113113	0.663876088
114	0.6637665035
115	0.6636624361
116	0.6635357498
117	0.663464182
118	0.66342117911119	0.6633418247
120	0.6632774079
121	0.6631972718
122	0.6630356702
123	0.6629682316
124	0.6629317074
125	0.6628612751
126	0.6627719361
127	0.6627112319
128	0.6626493105
129	0.6626194988
130	0.6625209457
131	0.6624155556
132	0.6623536779
133	0.6622743712
134	0.662168312
135	0.6620402229
136	0.6619653249
137	0.6618745292
138	0.6618044243
139	0.6617432568
140	0.6616628098
141	0.6615690142	142	0.6615005143	143	0.6614167144	144	0.6613906145	145	0.6613381146146	0.66126303147147	0.66117960148148	0.66110152149149	0.6610183150	150	0.6609751151	151	0.660886152	0152	0.660850153	0153	0.660762154	0154	0.660625155	0155	0.660565156	0156	0.660523157	0157	0.660480158	0158	0.660401159	0159	0.660321160	0160	0.660280161	0161	0.660175162	0162	0.660101163	0.6624847527
164	0.6624250748
165	0.6622873682
166	0.6622569811
167	0.6622222489
168	0.6621680621
169	0.6621350979
170	170	0.659589171	0.6620281815
172	0.6620066267
173	0.6619242214
174	0174	0.659368175	0.6618084821
176	0176	0.659262177	0177	0.659206178	0178	0.65917179	0.179	0.65910180	0.180	0.65905181	0.181	0.65904182	0.182	0.65900183	0.183	0.65895184	0.184	0.65890185	0.185	0.65880186	0.6612515119
187	0.6612200951
188	0.6611644687
189	0.6611389191
190	0.6610349639
191	0.6609589758
192	0.660902888
193	0.6608550495
194	0.6607636505
195	0.6606285219
196	0.6605624792
197	0.6605208381
198	0.660475963
199	0.6604504482
200	0.6603727756
201	0.6603136653
202	0.6602550239
203	0.6602104348
204	0.6601537492
205	0.6601529235
206	0.6600731991
207	0.6599980406
208	0.6599193934
209	0.6598992396
210	0.6598540267
211	0.6598203304
212	0.6597622369
213	0.6596959476
214	0.659642584
215	0.6596412419
216	0.6596364343
217	0.6595916722
218	0.6595057606
219	0.6594444197
220	0.6594403407
221	0.659366146
222	0.6592468133
223	0.6592424703
224	0.6592207449
225	0.6591519458
226	0.6590772888
227	0.6590471903
228	0.6589831564
229	0.6589277596
230	0.6588242174
231	0.6587716363
232	0.6587200691
233	0.6586700621
234	0.6585968389
235	0.6585477936
236	0.6584664849
237	0.658457989
238	0.6584254745
239	0.6583402502
240	0.6582820595
241	0.6582526998
242	0.6582338018
243	0.6581896865
244	0.6581839182
245	0.6581299904
246	0.6581151972
247	0.6580365399
248	0.6579935508
249	0.6579485419
250	0.6578876395
251	0.6578420727
252	0.6578321194
253	0.6577659783
254	0.6577385011
255	0.6576984696
256	0.6576354588
257	0.6576281323
258	0.6575700204
259	0.6575237044
260	0.6574666439
261	0.6574659706
262	0.6573915621
263	0.6573406436
264	0.6572355022
265	0.6572001328
266	0.6571450199
267	0.6570934537
268	0.6569986987
269	0.6569908604
270	0.6569698406
271	0.6569284056
272	0.6568693347
273	0.6568161286
274	0.656740463
275	0.6566973687
276	0.656625814
277	0.6565960065
278	0.6564894846
279	0.6564421464
280	0.6563687314
281	0.6563097172
282	0.6563088623
283	0.6562847392
284	0.6561709934
285	0.6560929969
286	0.6560459962
287	0.6560115611
288	0.6559540362
289	0.6558557959
290	0.6557595418
291	0.655676665
292	0.6556167662
293	0.6556039208
294	0.6555719481
295	0.6555265964
296	0.6554678881
297	0.6553958796
298	0.6553333534
299	0.6552826962
300	0.6552446379
301	0.6551758912
302	0.6551253626
