iter	Passed	Remaining
0	172	172189
1	187	93609
2	207	69016
3	225	56141
4	247	49161
5	262	43558
6	284	40364
7	302	37561
8	327	36014
9	347	34441
10	364	32739
11	386	31835
12	401	30520
13	425	29939
14	443	29109
15	461	28410
16	478	27661
17	495	27052
18	513	26489
19	527	25858
20	545	25413
21	564	25116
22	579	24601
23	595	24198
24	611	23867
25	627	23495
26	644	23229
27	668	23203
28	686	23000
29	703	22744
30	724	22635
31	741	22429
32	756	22174
33	774	22007
34	789	21755
35	808	21637
36	825	21489
37	841	21292
38	858	21145
39	873	20955
40	889	20814
41	908	20729
42	928	20668
43	946	20559
44	965	20496
45	986	20449
46	1002	20335
47	1024	20320
48	1040	20194
49	1054	20035
50	1068	19885
51	1086	19811
52	1103	19715
53	1120	19632
54	1138	19555555	1156	19485656	1174	19425757	1194	19397
58	1209	19285559	1230	19286060	1248	19216161	1265	19146262	1279	19066363	1296	18966464	1316	18936565	1335	18896666	1352	18846767	1371	18796868	1386	187169	1405	18671
70	1423	18626
7171	1440	18567272	1464	18597373	1485	18587474	1502	18537575	1522	18509
76	1543	18505
77	1564	18487
78	1586	18493
79	1615	18574
80	1636	18563
81	1652	18501
82	1668	18438
83	1685	18388484	1706	18368585	1727	18358686	1743	18298787	1765	18293
88	1779	18218989	1799	18199090	1818	18169191	1849	18259292	1879	18339393	1903	18349494	1919	18289595	1932	18199696	1953	18189797	1977	18209898	1994	18159999	2021	181910100	2036	181210101	2057	181110102	2080	18121
103	2105	18143
104	2123	18101
105	2139	18043
106	2159	18022
107	2171	179310108	2192	179110109	2210	178811110	2228	178411111	2244	177911112	2266	177911113	2287	17775
114	2306	17753
115	2330	17763
116	2351	17749
117	2371	17728
118	2388	176811119	2409	17671
120	2430	17655
121	2450	17634
122	2470	17616
123	2490	17596
124	2509	17563
125	2528	17541
126	2544	17491
127	2562	17458
128	2590	17488
129	2611	17478
130	2633	17466
131	2650	17430
132	2676	17450
133	2698	17436
134	2722	17446
135	2741	17417
136	2760	17392
137	2785	17401
138	2811	17412
139	2831	17396
140	2858	17416
141	2882	174114142	2899	173714143	2916	173314144	2934	173014145	2950	172614146	2965	172014147	2982	171614148	2998	171214149	3013	170715150	3035	170615151	3051	170215152	3065	169715153	3083	169315154	3100	169015155	3118	168715156	3138	168415157	3161	168515158	3181	168215159	3197	167816160	3213	167416161	3229	167016162	3246	1667163	3273	16684
164	3290	16649
165	3305	16604
166	3324	16584
167	3343	16558
168	3357	16510
169	3372	16466
17170	3388	1642171	3408	16409
172	3424	16368
173	3441	16336
17174	3449	1626175	3473	16261
17176	3490	162217177	3506	161917178	3525	161617179	3544	161418180	3560	161118181	3576	160718182	3593	160418183	3607	159918184	3623	159618185	3640	1593186	3664	15931
187	3679	15890
188	3700	15877
189	3716	15843
190	3733	15813
191	3752	15789
192	3770	15766
193	3790	15747
194	3808	15722
195	3830	15711
196	3847	15682
197	3862	15644
198	3882	15628
199	3899	15598
200	3921	15588
201	3940	15566
202	3958	15541
203	3974	15508
204	3988	15466
205	4003	15432
206	4020	15403
207	4041	15387
208	4056	15353
209	4073	15325
210	4094	15310
211	4108	15269
212	4124	15238
213	4148	15235
214	4170	15227
215	4189	15207
216	4205	15172
217	4232	15181
218	4256	15179
219	4275	15159
220	4290	15123
221	4310	15105
222	4331	15090
223	4349	15067
224	4367	15044
225	4386	15022
226	4405	15000
227	4425	14983
228	4439	14945
229	4463	14944
230	4480	14916
231	4499	14896
232	4515	14865
233	4532	14838
234	4554	14827
235	4574	14807
236	4594	14790
237	4609	14758
238	4623	14720
239	4639	14691
240	4660	14678
241	4682	14667
242	4706	14660
243	4729	14654
244	4749	14637
245	4771	14624
246	4798	14628
247	4830	14645
248	4847	14621
249	4886	14658
250	4911	14656
251	4930	14634
252	4946	14606
253	4970	14598
254	4993	14590
255	5018	14584
256	5036	14561
257	5051	14529
258	5078	14529
259	5103	14524
260	5128	14520
261	5148	14501
262	5166	14479
263	5185	14456
264	5202	14430
265	5220	14405
266	5239	14383
267	5265	14382
268	5292	14382
269	5310	14357
270	5329	14336
271	5354	14330
272	5371	14304
273	5391	14286
274	5412	14269
275	5431	14247
276	5451	14229
277	5475	14221
278	5496	14204
279	5515	14182
280	5541	14179
281	5561	14161
282	5582	14144
283	5610	14144
284	5632	14131
285	5655	14118
286	5678	14107
287	5701	14095
288	5721	14075
289	5741	14055
290	5765	14046
291	5784	14025
292	5802	14000
293	5820	13976
294	5839	13954
295	5857	13932
296	5874	13904
297	5896	13889
298	5911	13859
299	5928	13833
300	5944	13803
301	5963	13784
302	5981	13759
303	6001	13740
304	6021	13721
305	6039	13697
306	6056	13671
307	6075	13650
308	6095	13630
309	6108	13597
310	6126	13573
311	6142	13544
312	6159	13519
313	6177	13495
314	6200	13483
315	6221	13466
316	6239	13443
317	6257	13421
318	6278	13402
319	6291	13368
320	6313	13353
321	6333	13334
322	6352	13313
323	6369	13290
324	6388	13268
325	6406	13245
326	6423	13221
327	6441	13197
328	6462	13181
329	6477	13151
330	6502	13141
331	6517	13112
332	6533	13086
333	6554	13068
334	6571	13045
